Model,Num_Features,Features,R-squared,RMSE
Ridge (L2),4,"R&D Spend, Marketing Spend, State_California, State_Florida",0.9081086312685339,8626.291325933362
Ridge (L2),5,"R&D Spend, Marketing Spend, State_California, State_Florida, State_New York",0.9080984944956098,8626.767106989733
Ridge (L2),4,"R&D Spend, Marketing Spend, State_Florida, State_New York",0.9080943413437502,8626.962032355119
Ridge (L2),3,"R&D Spend, Marketing Spend, State_Florida",0.9080601403653621,8628.567064635246
Random Forest,1,R&D Spend,0.8998803525597777,9004.226614117973
Random Forest,2,"R&D Spend, State_Florida",0.8975594444414082,9107.993737175284
Gradient Boosting,3,"R&D Spend, Marketing Spend, State_New York",0.8966198679438422,9149.667289950206
Random Forest,3,"R&D Spend, State_Florida, State_New York",0.892504034387786,9330.025772050876
Gradient Boosting,4,"R&D Spend, Marketing Spend, State_Florida, State_New York",0.8897237038506786,9449.91378470406
Gradient Boosting,1,R&D Spend,0.8864576307779201,9588.83259968457
Gradient Boosting,2,"R&D Spend, State_Florida",0.8859705341667292,9609.378627135075
